Year,Diesel,Electric,Hybrid,Other,Petrol
2008,43183,6,0,0,220129
2009,25993,3,0,0,176636
2010,49580,10,0,0,307060
2011,85540,4440,0,0,431825
2012,80779,2623,0,0,310152
2013,0,0,0,0,0
2014,44861,301,23295,0,358708
2015,64306,3447,41129,0,556717
2016,52196,1355,20982,0,416985
2017,34948,783,22436,0,389368
2018,31615,987,36061,2,407580
2019,20821,756,7717,0,334544
2020,15768,340,1665,0,181971
2021,15437,273,334,0,13160
2022,5783,745,99,0,9514
2023,3266,2182,87,0,19309
